Incident Date,State,City Or County,Address,# Killed,# Injured,Operations
30-Nov-17,Alabama,Birmingham,1200 block of 12th Street North,2,0,N/A
29-Nov-17,Oklahoma,Duncan,1407 Mimosa Ave,2,0,N/A
28-Nov-17,Alabama,Selma,431 County Road 540,2,0,N/A
1-Dec-17,New Jersey,Paterson,58 Church St,1,0,N/A
1-Dec-17,South Carolina,York,700 block of East Old Limestone Road,1,0,N/A
30-Nov-17,Michigan,Flint,1900 block of Joliet,1,0,N/A
30-Nov-17,Michigan,Detroit,11000 block of Gunston,1,4,N/A
30-Nov-17,Ohio,Dublin,Post Rd and Hwy 33,1,0,N/A
30-Nov-17,Maryland,Baltimore,1800 block of Aiken St,1,0,N/A
30-Nov-17,Missouri,Saint Joseph,W 3rd St,1,0,N/A
30-Nov-17,Texas,Dallas,1400 block of Gardenside Dr,1,0,N/A
30-Nov-17,North Carolina,Concord,404 Winecoff School Rd,1,0,N/A
30-Nov-17,Wisconsin,Milwaukee,3800 block of N 9th St,1,0,N/A
29-Nov-17,Arizona,Sells,AZ 86 and co 19,1,0,N/A
29-Nov-17,Tennessee,Memphis,1082 N Claybrook St,1,1,N/A
29-Nov-17,Nevada,Reno,1855 Selmi Dr,1,1,N/A
29-Nov-17,Indiana,Kokomo,5200 Ojibway Dr,1,0,N/A
29-Nov-17,North Carolina,Cornelius,Schooner Dr and Torrence Chapel Rd,1,0,N/A
29-Nov-17,Texas,Lubbock,2500 block of Amherst St,1,0,N/A
29-Nov-17,Alabama,Phenix City,4th Street and 10th Avenue,1,1,N/A
29-Nov-17,Tennessee,Memphis,Teal Ave,1,0,N/A
29-Nov-17,Ohio,Euclid,1080 E 260th St,1,2,N/A
29-Nov-17,Ohio,Cleveland,2549 St Clair Ave NE,1,0,N/A
29-Nov-17,Ohio,Canton,200 block of Warner Rd SE,1,0,N/A
29-Nov-17,North Carolina,Raleigh,2200 block of Raven Road,1,0,N/A
29-Nov-17,Virginia,Norfolk,3100 block of Kitchener Ave,1,0,N/A
29-Nov-17,Missouri,Kansas City,71st and Strupwood,1,0,N/A
29-Nov-17,Oklahoma,Oklahoma City,4900 Royal Creek Road,1,0,N/A
29-Nov-17,Alabama,Birmingham,2600 block of Seventh Avenue South,1,0,N/A
29-Nov-17,Ohio,Dayton (Centerville),5300 Cornerstone North Boulevard,1,0,N/A
29-Nov-17,Arkansas,Jonesboro,2800 block of Summit Cove,1,0,N/A
29-Nov-17,Maryland,Baltimore,3000 block of Rayner Ave,1,0,N/A
29-Nov-17,Missouri,Saint Louis,4000 block of Cote Brilliante Ave,1,0,N/A
29-Nov-17,Florida,Boynton Beach,409 NW 12th Ave,1,0,N/A
29-Nov-17,Florida,Deland,914 S Florida Ave,1,0,N/A
29-Nov-17,Mississippi,Hattiesburg,900 Broadway Drive,1,0,N/A
29-Nov-17,Nevada,Las Vegas,200 block of Fremont St,1,0,N/A
29-Nov-17,North Carolina,Durham,101 E Cornwallis Rd,1,0,N/A
29-Nov-17,Virginia,Washington (county),4200 block of Reedy Creek Rd,1,0,N/A
29-Nov-17,Wisconsin,Milwaukee,4600 block of N 42nd St,1,0,N/A
28-Nov-17,Ohio,Dayton,50 block of N Trenton Ave,1,0,N/A
28-Nov-17,Ohio,Cleveland,2900 block of E 130th St,1,0,N/A
28-Nov-17,Kansas,Kansas City,N 7th St and Armstrong Ave,1,0,N/A
28-Nov-17,Missouri,Saint Louis (Richmond Heights),7200 block of W Park Ave,1,0,N/A
28-Nov-17,North Carolina,Albemarle,Snotherly St,1,0,N/A
28-Nov-17,Pennsylvania,Philadelphia,3500 block of Lancaster Avenue,1,0,N/A
28-Nov-17,New York,Buffalo,Center Ln,1,0,N/A
28-Nov-17,Kentucky,Louisville,700 block of Camp St,1,0,N/A
28-Nov-17,Maryland,Baltimore,3800 block of Oakford Ave,1,0,N/A
28-Nov-17,Maryland,Baltimore,1800 block of Wilhelm St,1,0,N/A
28-Nov-17,New Jersey,Camden,1100 block of Atlantic Ave,1,1,N/A
